63,83,64
15,6,39
79,27,74
37,81,44
60,37,93
26,21,25
98,7,56
51,34,15
84,11,72
87,22,30
43,24,22
71,1,64
28,6,53
3,63,94
53,64,8
52,38,64
47,92,17
33,54,70
60,45,19
7,40,49
66,1,68
96,79,64
34,52,73
89,95,87
65,34,19
48,48,8
57,17,66
61,100,52
68,88,50
26,77,99
69,23,90
43,22,75
16,82,5
87,0,51
18,90,5
85,46,38
30,78,32
9,81,68
99,31,55
95,35,23
90,31,11
35,19,32
25,75,95
55,61,42
83,93,33
44,69,33
19,14,4
31,21,14
22,88,83
81,75,95
20,5,97
13,57,69
45,55,58
31,48,44
71,72,86
86,27,5
32,88,19
93,67,7
16,35,95
49,5,14
28,21,1
30,47,20
80,39,76
35,93,85
29,8,90
14,6,100
97,64,17
55,11,66
11,0,79
52,15,9
76,76,18
38,88,13
62,61,54
75,89,34
47,73,32
85,35,41
100,23,78
20,63,21
53,51,80
56,84,11
34,3,86
17,70,5
85,0,27
39,70,79
99,75,96
75,47,2
32,44,95
27,8,37
53,30,89
47,34,67
70,57,66
41,37,3
85,91,28
74,91,21
64,98,84
83,78,9
97,61,78
36,69,59
69,33,88
17,41,4
